Nombre;Puntuación;Precio;Estrellas;Direccion
VALERIA-DREAMS San Pablo;8,0;€ 129;4;Centro histórico, Zaragoza
The Green House;9,0;€ 89;4;Centro, Zaragoza
Casa Estébanes 2 BR Premium Familiar 7 Pax;9,0;€ 251;4;Centro histórico, Zaragoza
VALERIA DREAMS-Mártires 3ºA - EL TUBO;6,7;€ 129;3;Centro histórico, Zaragoza
Apartamento Zaragoza Centro;7,9;€ 245;4;Delicias, Zaragoza
Exclusivo Loft en Zaragoza-1;N/A;€ 153;0;Zaragoza
Apartamento Zaragoza Picarral;8,3;€ 235;4;Zaragoza
Pensión Iglesias;6,3;€ 1.000;1;Centro histórico, Zaragoza
Apartamento Zaragoza Centro 2;8,1;€ 219;4;Zaragoza
Alto standing, céntrico, ideal alquiler corporativo Parking;N/A;€ 363;4;Centro, Zaragoza
Inmejorable Apartamento cerca Estación Delicias con GARAJE;8,7;€ 315;4;Delicias, Zaragoza
Palacio de Larrinaga;9,3;€ 1.050;4;Zaragoza
Pilares Zaragoza;2,0;€ 100;0;Zaragoza
