Nombre,Puntuación,Precio,Estrellas,Llaves,Direccion,ciudad,web,Puntuacion
Meliá Lebreros,9.3,133 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Don Juan,8.5,60 €,2 estrellas,0 llaves,El Coronil,Sevilla,Amimir,
Overland Suites Catedral,8.9,128 €,0 estrellas,4 llaves,Sevilla,Sevilla,Amimir,
Abanico,8.4,113 €,3 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
ibis Styles Sevilla Santa Justa,8.7,80 €,3 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
YIT Vereda Real,8.1,55 €,4 estrellas,0 llaves,Valencina de la Concepción,Sevilla,Amimir,
Apartamentos Metropolis,8.8,91 €,0 estrellas,4 llaves,Sevilla,Sevilla,Amimir,
Aguilas5 SevillaSuites,9.4,183 €,0 estrellas,4 llaves,Sevilla,Sevilla,Amimir,
Hotel Servilia,8.2,70 €,2 estrellas,0 llaves,Carmona,Sevilla,Amimir,
Hotel Doña Blanca,8.3,73 €,2 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Doña Manuela,8.9,95 €,2 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Alcántara,8.6,77 €,2 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Hostal Albero By Eme Hoteles,7.8,69 €,2 estrellas,0 llaves,Sanlúcar la Mayor,Sevilla,Amimir,
Baco,7.3,68 €,2 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Rey Don Pedro Luxury Home,8.9,125 €,3 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Amadeus,9.3,299 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Pensión Javier,5.8,27 €,1 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Eurostars Sevilla Boutique,9.2,156 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Alcazar,6.6,70 €,3 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
