Nombre,Puntuacion,Precio,Estrellas,Llaves,Direccion,web,zona,Nombre_norm
Parador de Carmona,9.0,98.0,4 estrellas,0 llaves,Carmona,Amimir,Sevilla,parador carmona
Holiday Rentals Tempa Museo,8.3,84.0,0 estrellas,4 llaves,Sevilla,Amimir,Sevilla,holiday rentals tempa museo
Hotel Giralda Center,9.1,160.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,giralda center
Only YOU Hotel Sevilla,9.5,188.0,5 estrellas,0 llaves,Sevilla,Amimir,Sevilla,only you
Vincci Selección Unuk 5* GL,9.0,264.0,5 estrellas,0 llaves,Sevilla,Amimir,Sevilla,vincci seleccion unuk gl
Los Salados Holiday Rentals,8.9,81.0,0 estrellas,4 llaves,Sevilla,Amimir,Sevilla,salados holiday rentals
Hostal Sevilla Santa Justa,8.6,58.0,1 estrellas,0 llaves,Sevilla,Amimir,Sevilla,santa justa
Lince,8.6,46.0,1 estrellas,0 llaves,Aznalcázar,Amimir,Sevilla,lince
Hotel Casa del Poeta,9.3,393.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,casa poeta
Ítaca Sevilla,8.2,108.0,3 estrellas,0 llaves,Sevilla,Amimir,Sevilla,itaca
H10 Casa de la Plata,9.3,232.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,h casa plata
Hacienda Olontigi,8.2,48.0,0 estrellas,0 llaves,Aznalcázar,Amimir,Sevilla,hacienda olontigi
Posada Del Lucero,9.3,137.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,posada lucero
Hostal Bar Mellizo,8.4,37.0,1 estrellas,0 llaves,Lebrija,Amimir,Sevilla,bar mellizo
Hotel Ciudad Del Sol,8.2,67.0,3 estrellas,0 llaves,Écija,Amimir,Sevilla,ciudad sol
Singular Metropol,8.5,104.0,0 estrellas,3 llaves,Sevilla,Amimir,Sevilla,singular metropol
On Suites Sevilla,8.4,94.0,0 estrellas,4 llaves,Sevilla,Amimir,Sevilla,on
Reservaloen Plaza del Salvador,8.0,115.0,0 estrellas,3 llaves,Sevilla,Amimir,Sevilla,reservaloen plaza salvador
NH Sevilla Plaza de Armas,9.0,148.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,nh plaza armas
Hotel Boutique Palacio Pinello,8.8,194.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,palacio pinello
Palacio Alcazar,8.5,143.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,palacio alcazar
Basic Hotel Puerta de Sevilla,8.3,98.0,1 estrellas,0 llaves,Sevilla,Amimir,Sevilla,basic puerta
Cool Sevilla Hotel,8.0,55.0,2 estrellas,0 llaves,Sevilla,Amimir,Sevilla,cool
Eurostars Torre Sevilla,8.2,121.0,5 estrellas,0 llaves,Sevilla,Amimir,Sevilla,eurostars torre
Casa Quintero Apartments,8.5,157.0,0 estrellas,4 llaves,Sevilla,Amimir,Sevilla,casa quintero
Slow Suites Maestranza,8.4,110.0,0 estrellas,4 llaves,Sevilla,Amimir,Sevilla,slow maestranza
Apartamentos Sevilla Palace,8.5,85.0,0 estrellas,3 llaves,Sevilla,Amimir,Sevilla,palace
Silken Al-Andalus Palace,8.6,223.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,silken al andalus palace
Hotel Palacio de San Fernando,8.9,67.0,3 estrellas,0 llaves,Utrera,Amimir,Sevilla,palacio san fernando
Hesperia Sevilla,8.5,126.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,hesperia
Ardea Purpurea,8.9,80.0,4 estrellas,0 llaves,Villamanrique de la Condesa,Amimir,Sevilla,ardea purpurea
Leflet Valme,8.7,79.0,3 estrellas,0 llaves,Dos Hermanas,Amimir,Sevilla,leflet valme
Hotel Bécquer,9.0,121.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,becquer
Duquesa Hotel,7.8,50.0,3 estrellas,0 llaves,Sevilla,Amimir,Sevilla,duquesa
Pension Santa Maria La Blanca,3.5,69.0,2 estrellas,0 llaves,Sevilla,Amimir,Sevilla,santa maria blanca
Eurostars Guadalquivir,9.3,102.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,eurostars guadalquivir
Ribera de Triana,8.8,105.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,ribera triana
Dona Maria,8.6,150.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,dona maria
Pensión Vergara,5.8,32.0,1 estrellas,0 llaves,Sevilla,Amimir,Sevilla,vergara
Occidental Sevilla Viapol,9.0,115.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,occidental viapol
Hoteles Del Sur,8.3,62.0,0 estrellas,3 llaves,Sevilla,Amimir,Sevilla,sur
Hotel Leflet Sanlúcar,8.1,48.0,3 estrellas,0 llaves,Sanlúcar la Mayor,Amimir,Sevilla,leflet sanlucar
Apartamentos Luxsevilla Palacio,6.8,60.0,0 estrellas,3 llaves,Sevilla,Amimir,Sevilla,lux palacio
Apartamentos Magna Sevilla,7.5,75.0,0 estrellas,3 llaves,Sevilla,Amimir,Sevilla,magna
La Casa del Maestro,9.1,84.0,1 estrellas,0 llaves,Sevilla,Amimir,Sevilla,casa maestro
Exe Sevilla Palmera,8.5,64.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,exe palmera
Convento La Gloria,8.1,118.0,3 estrellas,0 llaves,Sevilla,Amimir,Sevilla,convento gloria
Casa Bailén Apartamentos,9.4,141.0,0 estrellas,4 llaves,Sevilla,Amimir,Sevilla,casa bailen
Apartamentos Santiago by OYO Rooms,8.6,58.0,2 estrellas,0 llaves,Écija,Amimir,Sevilla,santiago
Casa Romana Hotel Boutique,9.0,100.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,casa romana
Sercotel Las Casas de los Mercaderes,8.7,134.0,3 estrellas,0 llaves,Sevilla,Amimir,Sevilla,sercotel las casas mercaderes
Hostal Santa Catalina,8.1,55.0,1 estrellas,0 llaves,Sevilla,Amimir,Sevilla,santa catalina
EME Catedral Mercer,8.2,183.0,5 estrellas,0 llaves,Sevilla,Amimir,Sevilla,eme catedral mercer
Ritual Sevilla Suites - Centro Historico,8.6,149.0,0 estrellas,4 llaves,Sevilla,Amimir,Sevilla,ritual centro historico
Halo Boutique Hotel,8.5,152.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,halo
Iberflat Vega de Triana,8.4,80.0,0 estrellas,3 llaves,Camas,Amimir,Sevilla,iberflat vega triana
Hotel Plaza Sevilla,8.1,56.0,3 estrellas,0 llaves,Sevilla,Amimir,Sevilla,plaza
U-Sense Sevilla Centro,9.4,96.0,3 estrellas,0 llaves,Sevilla,Amimir,Sevilla,u sense centro
Monte Carmelo,9.5,96.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,monte carmelo
Sevilla Central Suites Apartamentos,9.3,163.0,0 estrellas,4 llaves,Sevilla,Amimir,Sevilla,central
El Rey Moro Hotel,8.9,375.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,rey moro
Fontecruz Sevilla Seises,8.4,206.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,fontecruz seises
Casa Senorial Del Siglo XVIII,9.0,122.0,0 estrellas,4 llaves,Sevilla,Amimir,Sevilla,casa senorial siglo xviii
Pierre & Vacances Sevilla,8.7,95.0,0 estrellas,4 llaves,Sevilla,Amimir,Sevilla,pierre & vacances
Casa Alhaja By Shiadu,9.2,202.0,3 estrellas,0 llaves,Sevilla,Amimir,Sevilla,casa alhaja
Hotel Boutique Casas de Santa Cruz,8.0,118.0,3 estrellas,0 llaves,Sevilla,Amimir,Sevilla,casas santa cruz
Hostal San Francisco,8.5,222.0,1 estrellas,0 llaves,Sevilla,Amimir,Sevilla,san francisco
Abril,9.0,82.0,2 estrellas,0 llaves,Sevilla,Amimir,Sevilla,abril
Legado Oromana Hotel,6.3,43.0,3 estrellas,0 llaves,Alcalá de Guadaira,Amimir,Sevilla,legado oromana
San Gil,7.4,87.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,san gil
Casa Gloria Apartments,9.2,128.0,0 estrellas,4 llaves,Sevilla,Amimir,Sevilla,casa gloria
Palace Sevilla,8.2,78.0,3 estrellas,0 llaves,Sevilla,Amimir,Sevilla,palace
Murillo Hotel,8.4,98.0,2 estrellas,0 llaves,Sevilla,Amimir,Sevilla,murillo
La Hostería de Doña Lina,8.7,71.0,2 estrellas,0 llaves,Sevilla,Amimir,Sevilla,hosteria doña lina
America,8.7,145.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,america
Soho Boutique Catedral,9.1,143.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,soho catedral
Elvira Plaza,8.2,115.0,3 estrellas,0 llaves,Sevilla,Amimir,Sevilla,elvira plaza
Ocean Drive Sevilla,8.8,119.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,ocean drive
Joya del Casco Boutique Hotel,9.2,183.0,3 estrellas,0 llaves,Sevilla,Amimir,Sevilla,joya casco
B&b Hotel Sevilla Bormujos,8.8,62.0,2 estrellas,0 llaves,Bormujos,Amimir,Sevilla,b&b bormujos
Murillo Hotel & Apartamentos,8.8,88.0,0 estrellas,0 llaves,Sevilla,Amimir,Sevilla,murillo &
Casa Palacio Don Pedro,8.7,62.0,1 estrellas,0 llaves,Sevilla,Amimir,Sevilla,casa palacio don pedro
Oak & Sandstone,9.0,188.0,0 estrellas,4 llaves,Sevilla,Amimir,Sevilla,oak & sandstone
Hostal Lis,7.5,45.0,1 estrellas,0 llaves,Sevilla,Amimir,Sevilla,lis
Hotel H28 Camas,7.0,53.0,3 estrellas,0 llaves,Camas,Amimir,Sevilla,h camas
Welldone Cathedral,8.3,162.0,0 estrellas,3 llaves,Sevilla,Amimir,Sevilla,welldone cathedral
Welldone Metropol,8.1,94.0,1 estrellas,0 llaves,Sevilla,Amimir,Sevilla,welldone metropol
