Nombre,Puntuacion,Precio,Estrellas,Llaves,Direccion,web,zona,Nombre_norm
Loft Con Terraza Y Barbacoa,9.2,83.0,0 estrellas,0 llaves,Lumpiaque,Amimir,Zaragoza,loft con terraza barbacoa
Monasteriohome 1 2,9.2,64.0,0 estrellas,0 llaves,Ibdes,Amimir,Zaragoza,monasteriohome
Monasteriohome 1,9.1,63.0,0 estrellas,0 llaves,Ibdes,Amimir,Zaragoza,monasteriohome
A' Corona del Reino,8.9,80.0,0 estrellas,0 llaves,Ejea de los Caballeros,Amimir,Zaragoza,a' corona reino
La Tallada,9.0,110.0,0 estrellas,0 llaves,Caspe,Amimir,Zaragoza,tallada
Mirador Del Río Piedra,9.0,305.0,0 estrellas,0 llaves,Nuévalos,Amimir,Zaragoza,mirador rio piedra
Casa Torralba,8.6,52.0,0 estrellas,0 llaves,El Frago,Amimir,Zaragoza,casa torralba
Casa Aljez,8.7,150.0,0 estrellas,0 llaves,Calatayud,Amimir,Zaragoza,casa aljez
Hostal Sara,8.6,40.0,0 estrellas,0 llaves,Villafeliche,Amimir,Zaragoza,sara
Rey Mundo,8.5,62.0,0 estrellas,0 llaves,Munébrega,Amimir,Zaragoza,rey mundo
Borja,8.6,57.0,0 estrellas,0 llaves,Borja,Amimir,Zaragoza,borja
Pension Plaza,7.7,40.0,0 estrellas,0 llaves,Quinto,Amimir,Zaragoza,plaza
La Alcoba De Becquer,8.4,46.0,0 estrellas,0 llaves,Vera de Moncayo,Amimir,Zaragoza,alcoba becquer
Hotel Sauce,9.1,69.0,2 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,sauce
Hostal Casa Pepe,8.0,35.0,0 estrellas,0 llaves,Tauste,Amimir,Zaragoza,casa pepe
Tierra De Cubas,8.4,75.0,4 estrellas,0 llaves,Cariñena,Amimir,Zaragoza,tierra cubas
Sercotel Plaza Feria Hotel,8.5,70.0,4 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,sercotel plaza feria
El Molino De La Hiedra,9.0,80.0,0 estrellas,0 llaves,Albeta,Amimir,Zaragoza,molino hiedra
Hiberus,8.7,100.0,4 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,hiberus
Hotel & Spa Real Ciudad De Zaragoza,7.7,60.0,4 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,& spa real ciudad
AZ San Valero Boutique Hotel,8.2,68.0,2 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,az san valero
Hotel Delicias,7.5,60.0,2 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,delicias
Hotel Rio Arga,8.0,77.0,2 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,rio arga
Moncayo Rural Rr 44,8.5,129.0,0 estrellas,0 llaves,Vera de Moncayo,Amimir,Zaragoza,moncayo rural rr
B&B Hotel Zaragoza Centro,7.9,56.0,2 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,b&b centro
Hotel Marivella,7.9,55.0,3 estrellas,0 llaves,Calatayud,Amimir,Zaragoza,marivella
Casa Juani,9.0,218.0,0 estrellas,0 llaves,Ateca,Amimir,Zaragoza,casa juani
Hotel Rural Rincón del Cierzo,8.1,70.0,0 estrellas,0 llaves,Lécera,Amimir,Zaragoza,rural rincon cierzo
Nuevo Apartamento En Calatayud,8.9,122.0,0 estrellas,0 llaves,Calatayud,Amimir,Zaragoza,nuevo
El Pilar A 7 Minutos,8.1,108.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,pilar a minutos
El Compromiso,8.5,93.0,0 estrellas,0 llaves,Caspe,Amimir,Zaragoza,compromiso
Apartamento El Portiel,8.4,90.0,0 estrellas,0 llaves,Gotor,Amimir,Zaragoza,portiel
Casa Rural Serafin,8.7,122.0,0 estrellas,0 llaves,Murillo de Gállego,Amimir,Zaragoza,casa rural serafin
Hotel Tierra De Garnacha,6.7,57.0,2 estrellas,0 llaves,Borja,Amimir,Zaragoza,tierra garnacha
Casa Típica Aragonesa.,7.1,276.0,0 estrellas,0 llaves,Caspe,Amimir,Zaragoza,casa tipica aragonesa.
Apartamentos Zaragoza Independencia 3000,9.6,391.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,independencia
Cogullada,7.4,60.0,2 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,cogullada
Apartamento Con Jacuzzi El Rincón De Ayud,8.5,139.0,0 estrellas,0 llaves,Calatayud,Amimir,Zaragoza,con jacuzzi rincon ayud
La Parada,9.3,189.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,parada
